0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
WTOREK,2024-10-01 00:00:00,8,,2,1,,,,,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL8 lek M. Szczepanek KSW2,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,9,,2,1,,,,,,,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,ONKOLOGIA CKL9 dr M. Kruczała Mrukmed Langiewicza,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,10,,3,1,,,,,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,CHIRURGIA szczęk CKL10 prof R. Brodowski USK,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,11,,3,1,,,,,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,CH. WEW. PULMO CKL11 lek D. Wróblewska PCCHP,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,12,,3,1,,,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,ORTOPEDIA CKL12 LEK D. HANF-OSETEK KSW2,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,13,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,14,,3,1,,,,,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,CH. WEW. NEFRO CKL14 dr M. Kraśnicka KSW2,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,15,,3,1,,,,,"PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT","PSYCHIATRIA CKL15 LEK. M. PRUCHNIK-SURÓWKA, ŁAŃCUT",,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,Ckl,C,S,W,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,Ckl,C,S,W,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,16,,4,2,,,,,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,GINEKOLOGIA CKL16 DR O. Mora-Janiszewska  KSW2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,17,,4,2,,,,,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,ONKOLOGIA CKL17 DR A.Stryjkowska-Góra PCCHP-poradnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,18,,4,2,,,,,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,PSYCHIATRIA CKL18 lek M. Śliwa USK,,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,GINEKOLOGIA CKL18 LEK K. Kluza USK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,19,,4,2,,,,,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,CH. WEW. NEFRO CKL19 lek D. Kłos USK,,,,,,,,,,,,,,,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL19 prof. D. Borowski PROFAMILIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,20,,5,2,,,,,,,,,,,,,,,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,PEDIATRIA REUMAT CKL20 lek M. Szczepanek KSW2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,21,,5,2,,,,,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,CH. WEW. NEFRO CKL21 dr K. Rybak KSW2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
